,date,agenda,speaker,party,text,speech_id,sentences
1879866,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"There was a lot in that question. I would like to reassure the Lady that ensuring that the transfer from legacy benefits to universal credit is effective, fair and compassionate is absolutely central to the work the Department will be doing. The pilot announced some time ago, involving 10,000 people, will be taking place later this year. It will be absolutely central to ensuring that that is effective. I look forward to further discussions about that.",20190107000005,I look forward to further discussions about that.
1879867,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Iain Duncan Smith,Con,"I welcome my right Friend to her place. Her announcement is absolutely right. She knows the whole point of universal credit was the test and learn process, unlike, and learning lessons from, the mess of tax credits. Under tax credits, nearly 1 million people lost all their money. That will not happen under universal credit. I hope she will absolutely see the programme through.",20190107000006,I welcome my right Friend to her place.
1879867,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Iain Duncan Smith,Con,"I welcome my right Friend to her place. Her announcement is absolutely right. She knows the whole point of universal credit was the test and learn process, unlike, and learning lessons from, the mess of tax credits. Under tax credits, nearly 1 million people lost all their money. That will not happen under universal credit. I hope she will absolutely see the programme through.",20190107000006,Her announcement is absolutely right.
1879867,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Iain Duncan Smith,Con,"I welcome my right Friend to her place. Her announcement is absolutely right. She knows the whole point of universal credit was the test and learn process, unlike, and learning lessons from, the mess of tax credits. Under tax credits, nearly 1 million people lost all their money. That will not happen under universal credit. I hope she will absolutely see the programme through.",20190107000006,"She knows the whole point of universal credit was the test and learn process, unlike, and learning lessons from, the mess of tax credits."
1879867,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Iain Duncan Smith,Con,"I welcome my right Friend to her place. Her announcement is absolutely right. She knows the whole point of universal credit was the test and learn process, unlike, and learning lessons from, the mess of tax credits. Under tax credits, nearly 1 million people lost all their money. That will not happen under universal credit. I hope she will absolutely see the programme through.",20190107000006,"Under tax credits, nearly 1 million people lost all their money."
1879867,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Iain Duncan Smith,Con,"I welcome my right Friend to her place. Her announcement is absolutely right. She knows the whole point of universal credit was the test and learn process, unlike, and learning lessons from, the mess of tax credits. Under tax credits, nearly 1 million people lost all their money. That will not happen under universal credit. I hope she will absolutely see the programme through.",20190107000006,That will not happen under universal credit.
1879867,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Iain Duncan Smith,Con,"I welcome my right Friend to her place. Her announcement is absolutely right. She knows the whole point of universal credit was the test and learn process, unlike, and learning lessons from, the mess of tax credits. Under tax credits, nearly 1 million people lost all their money. That will not happen under universal credit. I hope she will absolutely see the programme through.",20190107000006,I hope she will absolutely see the programme through.
1879868,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"I thank my right Friend for his support and pay tribute to the incredible work he did to set up universal credit, particularly focusing on ensuring that universal credit helps people into work. We must remember that under previous legacy rates that took place under Labour, to which he rightly draws attention, there were marginal rates of tax of 90%. No wonder people were discouraged from going into work.",20190107000007,"I thank my right Friend for his support and pay tribute to the incredible work he did to set up universal credit, particularly focusing on ensuring that universal credit helps people into work."
1879868,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"I thank my right Friend for his support and pay tribute to the incredible work he did to set up universal credit, particularly focusing on ensuring that universal credit helps people into work. We must remember that under previous legacy rates that took place under Labour, to which he rightly draws attention, there were marginal rates of tax of 90%. No wonder people were discouraged from going into work.",20190107000007,"We must remember that under previous legacy rates that took place under Labour, to which he rightly draws attention, there were marginal rates of tax of 90%."
1879868,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"I thank my right Friend for his support and pay tribute to the incredible work he did to set up universal credit, particularly focusing on ensuring that universal credit helps people into work. We must remember that under previous legacy rates that took place under Labour, to which he rightly draws attention, there were marginal rates of tax of 90%. No wonder people were discouraged from going into work.",20190107000007,No wonder people were discouraged from going into work.
1879869,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Frank Field,Independent,"I am so confused. Might I ask the Secretary of State whether the best news we have heard since the benefit was introduced is in fact correct? Is she postponing the mass migration? Is she limiting it to the 10,000? Is she then going to see how those 10,000 are looked after in the transfer? If that is so, may I thank her and congratulate her, and say that it is a real pleasure that she has introduced so quickly a key recommendation of the Select Committee?",20190107000008,I am so confused.
1879869,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Frank Field,Independent,"I am so confused. Might I ask the Secretary of State whether the best news we have heard since the benefit was introduced is in fact correct? Is she postponing the mass migration? Is she limiting it to the 10,000? Is she then going to see how those 10,000 are looked after in the transfer? If that is so, may I thank her and congratulate her, and say that it is a real pleasure that she has introduced so quickly a key recommendation of the Select Committee?",20190107000008,Might I ask the Secretary of State whether the best news we have heard since the benefit was introduced is in fact correct?
1879869,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Frank Field,Independent,"I am so confused. Might I ask the Secretary of State whether the best news we have heard since the benefit was introduced is in fact correct? Is she postponing the mass migration? Is she limiting it to the 10,000? Is she then going to see how those 10,000 are looked after in the transfer? If that is so, may I thank her and congratulate her, and say that it is a real pleasure that she has introduced so quickly a key recommendation of the Select Committee?",20190107000008,Is she postponing the mass migration?
1879869,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Frank Field,Independent,"I am so confused. Might I ask the Secretary of State whether the best news we have heard since the benefit was introduced is in fact correct? Is she postponing the mass migration? Is she limiting it to the 10,000? Is she then going to see how those 10,000 are looked after in the transfer? If that is so, may I thank her and congratulate her, and say that it is a real pleasure that she has introduced so quickly a key recommendation of the Select Committee?",20190107000008,"Is she limiting it to the 10,000?"
1879869,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Frank Field,Independent,"I am so confused. Might I ask the Secretary of State whether the best news we have heard since the benefit was introduced is in fact correct? Is she postponing the mass migration? Is she limiting it to the 10,000? Is she then going to see how those 10,000 are looked after in the transfer? If that is so, may I thank her and congratulate her, and say that it is a real pleasure that she has introduced so quickly a key recommendation of the Select Committee?",20190107000008,"Is she then going to see how those 10,000 are looked after in the transfer?"
1879869,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Frank Field,Independent,"I am so confused. Might I ask the Secretary of State whether the best news we have heard since the benefit was introduced is in fact correct? Is she postponing the mass migration? Is she limiting it to the 10,000? Is she then going to see how those 10,000 are looked after in the transfer? If that is so, may I thank her and congratulate her, and say that it is a real pleasure that she has introduced so quickly a key recommendation of the Select Committee?",20190107000008,"If that is so, may I thank her and congratulate her, and say that it is a real pleasure that she has introduced so quickly a key recommendation of the Select Committee?"
1879870,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"I am afraid the right Gentleman is a little ahead in his fulsome praise for me, which I always appreciate. As I said to him in the Select Committee before Christmas, I will want to consider carefully when I bring to the House the vote for the 3 million managed migration, which is scheduled for 2020. I am still considering when to do that. I can reassure him that there will be a vote on that before it takes place. The 10,000-person pilot, which was announced some time ago, will, as always, inform us how we do that.",20190107000009,"I am afraid the right Gentleman is a little ahead in his fulsome praise for me, which I always appreciate."
1879870,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"I am afraid the right Gentleman is a little ahead in his fulsome praise for me, which I always appreciate. As I said to him in the Select Committee before Christmas, I will want to consider carefully when I bring to the House the vote for the 3 million managed migration, which is scheduled for 2020. I am still considering when to do that. I can reassure him that there will be a vote on that before it takes place. The 10,000-person pilot, which was announced some time ago, will, as always, inform us how we do that.",20190107000009,"As I said to him in the Select Committee before Christmas, I will want to consider carefully when I bring to the House the vote for the 3 million managed migration, which is scheduled for 2020."
1879870,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"I am afraid the right Gentleman is a little ahead in his fulsome praise for me, which I always appreciate. As I said to him in the Select Committee before Christmas, I will want to consider carefully when I bring to the House the vote for the 3 million managed migration, which is scheduled for 2020. I am still considering when to do that. I can reassure him that there will be a vote on that before it takes place. The 10,000-person pilot, which was announced some time ago, will, as always, inform us how we do that.",20190107000009,I am still considering when to do that.
1879870,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"I am afraid the right Gentleman is a little ahead in his fulsome praise for me, which I always appreciate. As I said to him in the Select Committee before Christmas, I will want to consider carefully when I bring to the House the vote for the 3 million managed migration, which is scheduled for 2020. I am still considering when to do that. I can reassure him that there will be a vote on that before it takes place. The 10,000-person pilot, which was announced some time ago, will, as always, inform us how we do that.",20190107000009,I can reassure him that there will be a vote on that before it takes place.
1879870,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"I am afraid the right Gentleman is a little ahead in his fulsome praise for me, which I always appreciate. As I said to him in the Select Committee before Christmas, I will want to consider carefully when I bring to the House the vote for the 3 million managed migration, which is scheduled for 2020. I am still considering when to do that. I can reassure him that there will be a vote on that before it takes place. The 10,000-person pilot, which was announced some time ago, will, as always, inform us how we do that.",20190107000009,"The 10,000-person pilot, which was announced some time ago, will, as always, inform us how we do that."
1879871,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Kevin Hollinrake,Con,"In Thirsk and Malton, some of my constituents get paid on four-weekly cycles. That means they can get paid twice in a month and can appear to be earning more than they actually do. What more can we do to ensure universal credit responds to such situations, so that people receive the right level of support at the right time?",20190107000010,"In Thirsk and Malton, some of my constituents get paid on four-weekly cycles."
1879871,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Kevin Hollinrake,Con,"In Thirsk and Malton, some of my constituents get paid on four-weekly cycles. That means they can get paid twice in a month and can appear to be earning more than they actually do. What more can we do to ensure universal credit responds to such situations, so that people receive the right level of support at the right time?",20190107000010,That means they can get paid twice in a month and can appear to be earning more than they actually do.
1879871,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Kevin Hollinrake,Con,"In Thirsk and Malton, some of my constituents get paid on four-weekly cycles. That means they can get paid twice in a month and can appear to be earning more than they actually do. What more can we do to ensure universal credit responds to such situations, so that people receive the right level of support at the right time?",20190107000010,"What more can we do to ensure universal credit responds to such situations, so that people receive the right level of support at the right time?"
1879872,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"I thank my Friend for his question. He has raised this issue with us before. He is right that we need to ensure that universal credit delivers on what it intends to do, which is to give real time financial support based on an actual month's assessment. We have recently updated the guidance for universal credit so that work coaches can adjust to ensure that where the situation he describes occurs, appropriate adjustments are made.",20190107000011,I thank my Friend for his question.
1879872,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"I thank my Friend for his question. He has raised this issue with us before. He is right that we need to ensure that universal credit delivers on what it intends to do, which is to give real time financial support based on an actual month's assessment. We have recently updated the guidance for universal credit so that work coaches can adjust to ensure that where the situation he describes occurs, appropriate adjustments are made.",20190107000011,He has raised this issue with us before.
1879872,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"I thank my Friend for his question. He has raised this issue with us before. He is right that we need to ensure that universal credit delivers on what it intends to do, which is to give real time financial support based on an actual month's assessment. We have recently updated the guidance for universal credit so that work coaches can adjust to ensure that where the situation he describes occurs, appropriate adjustments are made.",20190107000011,"He is right that we need to ensure that universal credit delivers on what it intends to do, which is to give real time financial support based on an actual month's assessment."
1879872,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"I thank my Friend for his question. He has raised this issue with us before. He is right that we need to ensure that universal credit delivers on what it intends to do, which is to give real time financial support based on an actual month's assessment. We have recently updated the guidance for universal credit so that work coaches can adjust to ensure that where the situation he describes occurs, appropriate adjustments are made.",20190107000011,"We have recently updated the guidance for universal credit so that work coaches can adjust to ensure that where the situation he describes occurs, appropriate adjustments are made."
1879873,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Luke Pollard,Lab,"On 12 December, Neil Wright from Plymouth, who is disabled, received 1p in universal credit to live on. He is not able to claim another payment until 14 January. He said he had just 77p to live on at Christmas. Can the Secretary of State understand the utter hopelessness and anger that situations such as Mr Wright's cause? Will she agree to review his case, and, no matter the good intentions behind universal credit, will she admit that the system still causes misery and poverty for far too many people?",20190107000012,"On 12 December, Neil Wright from Plymouth, who is disabled, received 1p in universal credit to live on."
1879873,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Luke Pollard,Lab,"On 12 December, Neil Wright from Plymouth, who is disabled, received 1p in universal credit to live on. He is not able to claim another payment until 14 January. He said he had just 77p to live on at Christmas. Can the Secretary of State understand the utter hopelessness and anger that situations such as Mr Wright's cause? Will she agree to review his case, and, no matter the good intentions behind universal credit, will she admit that the system still causes misery and poverty for far too many people?",20190107000012,He is not able to claim another payment until 14 January.
1879873,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Luke Pollard,Lab,"On 12 December, Neil Wright from Plymouth, who is disabled, received 1p in universal credit to live on. He is not able to claim another payment until 14 January. He said he had just 77p to live on at Christmas. Can the Secretary of State understand the utter hopelessness and anger that situations such as Mr Wright's cause? Will she agree to review his case, and, no matter the good intentions behind universal credit, will she admit that the system still causes misery and poverty for far too many people?",20190107000012,He said he had just 77p to live on at Christmas.
1879873,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Luke Pollard,Lab,"On 12 December, Neil Wright from Plymouth, who is disabled, received 1p in universal credit to live on. He is not able to claim another payment until 14 January. He said he had just 77p to live on at Christmas. Can the Secretary of State understand the utter hopelessness and anger that situations such as Mr Wright's cause? Will she agree to review his case, and, no matter the good intentions behind universal credit, will she admit that the system still causes misery and poverty for far too many people?",20190107000012,Can the Secretary of State understand the utter hopelessness and anger that situations such as Mr Wright's cause?
1879873,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Luke Pollard,Lab,"On 12 December, Neil Wright from Plymouth, who is disabled, received 1p in universal credit to live on. He is not able to claim another payment until 14 January. He said he had just 77p to live on at Christmas. Can the Secretary of State understand the utter hopelessness and anger that situations such as Mr Wright's cause? Will she agree to review his case, and, no matter the good intentions behind universal credit, will she admit that the system still causes misery and poverty for far too many people?",20190107000012,"Will she agree to review his case, and, no matter the good intentions behind universal credit, will she admit that the system still causes misery and poverty for far too many people?"
1879874,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"I am sorry to hear of the particular situation the Gentleman raises. He must write to me, and of course I will take a careful look at it. However, I would just say also that I visited a number of jobcentres last Friday and was shown the work that a particular work coach had done to get three different people advances on the day of their universal credit application-the Friday before Christmas. We must not underestimate the good work that so many work coaches do to help claimants, which is in their interest and in ours.",20190107000013,I am sorry to hear of the particular situation the Gentleman raises.
1879874,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"I am sorry to hear of the particular situation the Gentleman raises. He must write to me, and of course I will take a careful look at it. However, I would just say also that I visited a number of jobcentres last Friday and was shown the work that a particular work coach had done to get three different people advances on the day of their universal credit application-the Friday before Christmas. We must not underestimate the good work that so many work coaches do to help claimants, which is in their interest and in ours.",20190107000013,"He must write to me, and of course I will take a careful look at it."
1879874,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"I am sorry to hear of the particular situation the Gentleman raises. He must write to me, and of course I will take a careful look at it. However, I would just say also that I visited a number of jobcentres last Friday and was shown the work that a particular work coach had done to get three different people advances on the day of their universal credit application-the Friday before Christmas. We must not underestimate the good work that so many work coaches do to help claimants, which is in their interest and in ours.",20190107000013,"However, I would just say also that I visited a number of jobcentres last Friday and was shown the work that a particular work coach had done to get three different people advances on the day of their universal credit application-the Friday before Christmas."
1879874,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"I am sorry to hear of the particular situation the Gentleman raises. He must write to me, and of course I will take a careful look at it. However, I would just say also that I visited a number of jobcentres last Friday and was shown the work that a particular work coach had done to get three different people advances on the day of their universal credit application-the Friday before Christmas. We must not underestimate the good work that so many work coaches do to help claimants, which is in their interest and in ours.",20190107000013,"We must not underestimate the good work that so many work coaches do to help claimants, which is in their interest and in ours."
1879875,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Vicky Ford,Con,"The Labour party often talks about benefit cuts, but can my right Friend confirm that when universal credit is fully rolled out, there will be Â£2 billion more going into the benefits system than there would have been under legacy benefits, thanks to the changes in the last Budget?",20190107000014,"The Labour party often talks about benefit cuts, but can my right Friend confirm that when universal credit is fully rolled out, there will be Â£2 billion more going into the benefits system than there would have been under legacy benefits, thanks to the changes in the last Budget?"
1879876,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"I thank my Friend for giving me the opportunity to clarify that. It is such an important point that by 2020 the total system will cost approximately Â£62 billion, which is Â£2 billion more than the Â£60 billion that would have been anticipated under the previous benefits, so we are investing in our benefits.",20190107000015,I thank my Friend for giving me the opportunity to clarify that.
1879876,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,"I thank my Friend for giving me the opportunity to clarify that. It is such an important point that by 2020 the total system will cost approximately Â£62 billion, which is Â£2 billion more than the Â£60 billion that would have been anticipated under the previous benefits, so we are investing in our benefits.",20190107000015,"It is such an important point that by 2020 the total system will cost approximately Â£62 billion, which is Â£2 billion more than the Â£60 billion that would have been anticipated under the previous benefits, so we are investing in our benefits."
1879877,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],CHAIR,,"Just before I call the Member for Bishop Auckland (Helen Goodman), may I say to her-I think I do so with the support of the House-how sorry I was to see that her predecessor, an illustrious representative of the Bishop Auckland constituency, Mr Derek Foster, later Lord Foster, had passed away? He was well respected in this place and gave great service to it, and our sympathies go to his widow and the family.",20190107000016,"Just before I call the Member for Bishop Auckland (Helen Goodman), may I say to her-I think I do so with the support of the House-how sorry I was to see that her predecessor, an illustrious representative of the Bishop Auckland constituency, Mr Derek Foster, later Lord Foster, had passed away?"
1879877,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],CHAIR,,"Just before I call the Member for Bishop Auckland (Helen Goodman), may I say to her-I think I do so with the support of the House-how sorry I was to see that her predecessor, an illustrious representative of the Bishop Auckland constituency, Mr Derek Foster, later Lord Foster, had passed away? He was well respected in this place and gave great service to it, and our sympathies go to his widow and the family.",20190107000016,"He was well respected in this place and gave great service to it, and our sympathies go to his widow and the family."
1879878,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Helen Goodman,Lab,"Mr Speaker, thank you. I am sure all the people who live in Bishop Auckland will very much appreciate those sentiments. The Secretary of State may know that five years ago 30,000 people were fined for wrongly claiming free prescriptions, but last year that figure was 1 million. That is because when people get their awards, they are not told whether they are entitled to free prescriptions. It is a simple piece of admin-will she sort it?",20190107000017,"Mr Speaker, thank you."
1879878,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Helen Goodman,Lab,"Mr Speaker, thank you. I am sure all the people who live in Bishop Auckland will very much appreciate those sentiments. The Secretary of State may know that five years ago 30,000 people were fined for wrongly claiming free prescriptions, but last year that figure was 1 million. That is because when people get their awards, they are not told whether they are entitled to free prescriptions. It is a simple piece of admin-will she sort it?",20190107000017,I am sure all the people who live in Bishop Auckland will very much appreciate those sentiments.
1879878,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Helen Goodman,Lab,"Mr Speaker, thank you. I am sure all the people who live in Bishop Auckland will very much appreciate those sentiments. The Secretary of State may know that five years ago 30,000 people were fined for wrongly claiming free prescriptions, but last year that figure was 1 million. That is because when people get their awards, they are not told whether they are entitled to free prescriptions. It is a simple piece of admin-will she sort it?",20190107000017,"The Secretary of State may know that five years ago 30,000 people were fined for wrongly claiming free prescriptions, but last year that figure was 1 million."
