,SITUATION,EMOTION
40,[ Same as above - friends who torture animals.],SHAME
41,[ When excuses are necessary and I get out of doing it myself.],GUILT
42,When I had my children.,JOY
43,When my 2 year old son climbed up and sat on the 7th floor balcony with his legs hanging out.  He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down.,FEAR
44,When my partner was attacked and lost three teeth.,ANGER
45,When I see children on T.V from areas devastated by drought and war.,SADNESS
46,When I nearly walked on a blindworm and then saw it crawl away.,DISGUST
47,When I saw my 18 year old son grab an oxygen mask as he had breathing difficulties.  I had a bad conscience because I had not stopped smoking.  Medication for the dilation of his breathing tubes also caused a sense of guilt in me.,SHAME
48,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing.",GUILT
49,When my child was born.,JOY
50,"It was winter/spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.  The branch went through the ice and I fell in, the water closed in over my head.",FEAR
51,"Unjust accusations directed at me and my way of acting, by someone close to me.  ",ANGER
52,Failing an examination.,SADNESS
53,"A drunkard fell, started bleeding and wet himself.  Disgust that turned into sadness-unpleasantness.",DISGUST
54,"When, as an adult I have been caught lying or behaving badly.",SHAME
55,"When I am in an environment or with a person much worse off than me, I realize how privileged I am.",GUILT
56,When I saw a person I had not seen for a long time.,JOY
57,"When, as a child, I was nearly knocked down by a car.",FEAR
58,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died.  I could not  understand how normal people could behave in such a way.",ANGER
59,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment.  Nothing happens in particular because there is no time for anything else.",SADNESS
60,When one learns through the mass media all the wars and killing going on in the world.,DISGUST
61,"I lied, to be precise I cancelled a meeting with a good friend.",SHAME
62,When one lets friends down,GUILT
63,When I was accepted for a course on finance and accounting.,JOY
64,"A bus drove over my right leg.  The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened.",FEAR
65,"At my Summer job, nobody looked after me in particular and I had to learn all on my own.",ANGER
66,When I was not accepted as a student in finance and accounting.,SADNESS
67,When I had just moved into my new appartment I found a ventilator in the kitchen.  I was going to clean it when I found that the drum was full of mud and slime.  I felt disgusted.,DISGUST
68,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays.,SHAME
69,At my Summer job a new caretaker had been employed who was my age  but I preferred going out for lunch with the accounts personnel rather than with him.,GUILT
70,Passed an exam by 2 points.,JOY
71,"In a cottage in a large forest, I was alone for a while in the dark.",FEAR
72,When I spoke to Jan-Erik Wikstr÷m on the telephone. ,ANGER
73,Railway station good-bye.,SADNESS
74,I saw a cripple in rags with small children in Italy.  He was probably an imposter.,DISGUST
75,I told a friend that I was going to a party and he would not enjoy himself if he came along.  He understood  that he would not have fitted in and there was something in that.,SHAME
76,I was the reason behind the break-up of my friend's relationship with his girlfriend.  She finished with him.,GUILT
77,I passed an exam that I was absolutely certain that I had failed.,JOY
78,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard;  I was very scared till I managed to get him back onboard.",FEAR
79,I locked myself out.,ANGER
80,I missed the last tram home and had to walk in the pouring rain.,SADNESS
81,I found some worms in the food and I had obviously eaten some.,DISGUST
82,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents.",SHAME
83,I hapened to overhear something which I was not meant to hear.,GUILT
84,When I won a trip to Greece in a competition.,JOY
85,When I am out in the dark and a suspicious looking character comes towards me.,FEAR
86,"At work, when an elderly man complained unjustifiably about me and distrusted me.",ANGER
87,When I had not understood anything after a lecture.,SADNESS
88,When an alcoholic stood dribbling over a food counter.,DISGUST
89,When my friend and I were discussing the good looks of a guy we realized that he had been listening.,SHAME
90,When I complained about a colleague to the manager and he told her that someone had complained; this colleague came to me believing that I liked her.,GUILT
91,At a friend's birthday party with some of my closest friends.  It was all very pleasant and one could say that I was happy to have such good friends.,JOY
92,On the way home one Friday night in the heavy rain the car acquaplanned.  I lost contact with the road surface for a few seconds.,FEAR
93,Mad at my dad.,ANGER
94,A case of unrequited love.,SADNESS
95,A bad smelling cucumber.,DISGUST
96,Nearly caught masturbating.,SHAME
97,I do not help out enough at home.,GUILT
98,I felt very happy when I won the football pools.,JOY
99,When I flew from Athens to Copenhagen after a holiday.  The plane was caught in a storm and it began to shake and I thouhght that we were going to crash.,FEAR
100,When someone stole my bike.,ANGER
101,"When I saw the list of books to read for an acccouting course, I thought \ Oh God how will I ever manaage it!\""""",SADNESS
102,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year 2000.  An illustration showed a frog between two pieces of bread.,DISGUST
103,When I dropped a bottle in the state liquor store and everyboby started laughing.,SHAME
104,"When I was young - 14, I pinched from a store and was caught.  The store then contacted my parents.",GUILT
105,When the whole family gets together for a one week holiday.  Everybody feels free and the trip is well planned.  It works out well and we enjoy ourselves.,JOY
106,"When I could not find my 2 year old daughter.  I ran and looked for her everywhere and could not find her.  (I finally found her, she had gone to bed to sleep)",FEAR
107,When friends try to put me down or hurt me.  ,ANGER
108,Marriage crises.  Boredom.,SADNESS
109,When someone makes advances that one does not want.,DISGUST
110,The discovery that one has only thought of oneself.,SHAME
111,When I spanked a child in anger and later regretted it terribly.,GUILT
112,When I passed the first examination that I had to repeat.,JOY
113,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit.,FEAR
114,When my boyfriend went away for a month long holiday without me.,ANGER
115,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat; my boyfriend went to Greece for a holiday for a month.,SADNESS
116,When a dog is left whining outside a shop.,DISGUST
117,When I promised to help a friend over a weekend and did not keep the promise.,SHAME
118,When I realized that I had three more examinations to take.,GUILT
119,The day I was told that I had been accepted as a student of economics.,JOY
120,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money.  I was scared and was saved only by the appearance of other people.",FEAR
121,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i.e non Swedish speaking.  My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used .",ANGER
122,At the begining of a new course one is afraid of encountering problems one can not manage.  Thoughts revolve around failing the subject and the consequences it would have for the future.,SADNESS
123,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol.  They terrified him with the thought of arrest by driving close behind him on a pedestrian street.  My disgust was directed at the gestures and the facial expressions of the policemen; they seemed to be enjoying themselves.,DISGUST
124,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier.",SHAME
125,"When I am dishonest to a friend to whom I am very close.  I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong.",GUILT
126,When I found out that I had passed the last two exams by a margin of three marks.,JOY
127,When my father was ill and was waiting for the results of his tests.,FEAR
128,When I got caught in the pouring rain last Thursday and did not have a raincoat on me.,ANGER
129,When I failed an exam.,SADNESS
130,"At a Sm÷rgasbord table, a man mixed differnet kinds of picked herrings with fruit salad.",DISGUST
131,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor.",SHAME
132,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy.  This meant that he had to work hard and was not very well later.",GUILT
133,When I gave birth to my son and saw that he was alive and that I had managed it well.  He was born a month too early with a malfunctioning lung.  This happened a year ago.,JOY
134,When I found out that my father had lung cancer and they did not know how long he would live.,FEAR
135,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had.",ANGER
136,When I did not get the salary increase that I had been expecting and understood how little one's work was appreciated.,SADNESS
137,When I was weeding the garden I found a lizard in my hand.,DISGUST
138,"When I met a friend whom I had not seen for a long time and heard all about her troubles, I thought that I should have got in touch with her earlier.",SHAME
139,I got angry at my mother for something trivial.  We were in a bad mood because my father was very ill and I knew that my mother really needed support.  I had reacted wrongly.,GUILT
140,"New year's eve 1983/1984, I met my girlfriend.  We stood on the steps outside her parents home and I kissed her for the first time.",JOY
141,"When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue.  I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go.  The situation ended happily since there were no consequences.",FEAR
142,The editor changed the heading of an article that I had written.  He considered the heading to be derogatory towards the person I had written about.,ANGER
143,"A close acquaintance of the family died of lung cancer.  Although it was expected, I still felt depressed.",SADNESS
144,"When I saw a picture, in the Gothenburg Post, of a totally demolished car with two fatally injured passengers.  The car was so badly damaged that they couldn't get the bodies out at the scene of the accident.",DISGUST
145,One night I had a sexual intercourse with another man.  My sexual desire and my curiosity had made me jump into bed with him.  I am ashamed of myself now.,SHAME
146,"Due to laziness, I failed the term studies completely at University.  I also wanted, to some extent, to protest against my parents' expectations.",GUILT
147,When I got the loan for my studies.,JOY
148,I met intoxicated people with dubious intentions in a back alley one Wednesday night.,FEAR
149,On the T.V I saw a news feature on South Africa.  A policeman      attacked a group of black people with a whip.,ANGER
150,The thought of having to read a boring book of 400 pages in English.,SADNESS
151,Grovelling people.,DISGUST
152,My inability to assert myself positively in a group.,SHAME
153,I experience feelings of guilt because I do not study enough.,GUILT
154,"Observing someone in the cafeteria noisily gulping in his food, having extremely bad manners.",DISGUST
155,I guess I have often been ashamed after having talked badly of other people.,SHAME
156,Having been angry and unpleasant towards my parents.,GUILT
157,When my sister - after a history of one abortion and one stillbirth - gave birth to a perfectly healty boy.,JOY
158,"When my sister had the still born child, she was emotionally very deep down, and it took her a long time to recover.",FEAR
159,"We were starting a student project, and the teacher we talked to was very negative and not very helpful.",ANGER
160,"When my boyfriend openly let me down, preferring another girl.",SADNESS
161,"I felt some disgust for my boyfriend for a time, after he had left me.",DISGUST
162,Can't think of any.,SHAME
163,"Before an accident, my aunt offered me the front seat of the car, next to the driver. I declined, she took that seat and was killed there when the car crashed.",GUILT
164,"Unexpected visit by a close friend, whom I hadn't seen for half a year.",JOY
165,"I wandered by mistake into the safety zone of a shooting range, and was shot at.",FEAR
166,Being treated unfairly.,ANGER
167,Breaking up with a girl.,SADNESS
168,Nothing.,DISGUST
169,None.,SHAME
170,Little contact with my father before he died.,GUILT
171,"When I was accepted as a student at the college, not having thought it possible.",JOY
172,"When I was the first to arrive at the scene after an accident, and found that a close school friend had been killed.",FEAR
173,"I was accused of having done something, which I hadn't and got very angry.",ANGER
174,When my grandmother died.,SADNESS
175,Not applicable.,DISGUST
176,"A couple of years ago during the summer holiday, I was fishing at a lake with my husband.  Suddenly it started raining while the sun was still shining. I experienced a feeling of joy, happiness and fulfillment.  the whole nature was full of music.",JOY
177,"I was alone at home, in bed reading a womens' magazine in which there were storiees of paranormal experiences.  My leg was itching and I stretched my hand to scratch and I felt another strange hand. (later I realized that it was the corner of the blanket)",FEAR
178,"I went to a lecture and once again it had been cancelled, this was the second time.  One had a negative attitude towards the lecturer.",ANGER
179,"I heard that a former superior of mine had died, I was later at home home reading about it in the newspaper and I thought of our interaction and how it was no longer possible.  The limited scope of human life is sad.",SADNESS
180,"In the tram there was a fat, sickly looking woman in front of me who was asking for directions in a thick voice.  When she got up to go a disgusting smell of urine came from her.  I felt that I would choke.",DISGUST
181,"When we were at home, my husband and I, he made a remark about something I had done, in a perfectly friendly manner.  My deed had been unjust and I knew that my husband was right, therefore my sense of shame.",SHAME
182,"I made a remark to my sister concerning her attitude to men, the way she talked and I compared her to an acquaintance of mine.  Later, the same evening, my sister looked sad.  I felt guilty about her sadness.",GUILT
183,"I had a summer job in Sweden, and my boyfriend came to meet me on my birthday.",JOY
184,"I went to practice in Sweden during summer, and I was afraid that I would not do well.",FEAR
185,"In the holiday cottage of our association, two of my pals came to wake me up early one morning by bringing a radio played at the highest volume into my room - it was the morning service at its loudest.",ANGER
186,My grandmother died suddenly last summer.,SADNESS
187,"My superior at the summer job swindled customers as much as he could, and once put me in a difficult situation after which I could not but detest him.",DISGUST
188,Once I arrived two hours late to my work place (a bank) and I was still feeling feeble and tired.,SHAME
189,Our association had Polish visitors and when they were going back by boat I did not go to see them off (I am the chairman of the association).,GUILT
190,"I was told quite unexpectedly that one wanted me to become the vice-chairman of our student organisation.  I was really surprised and joy was the first emotion I felt, though behind it there was worry - how shall I succeed ?",JOY
191,"Our tutorial group was soon to be divided, and we got a list of names of freshmen, out of which five were to be in my group.  We read the names and then each group went its own way to a seminar room.  I wondered how I would cope with the new situation and if I would succeed as a group leader.",FEAR
192,"We were in a disco and the evening was not at all pleasant.  Despite my not knowing why, I was angry with my companion.  I let him feel my bad humour as I cannot hide my feelings.",ANGER
193,"My grandmother died, and my mother called me one sunday morning in the Autumn.  The way my mother told me about it, I hated her at that moment.  She sounded as if she had been waiting for the death of my grandmother.  I had lost a person close to me.  I felt guilty too as I had been bad to my grandmother of late.  I had not remained calm when she no longer understood everything so well.",SADNESS
194,"At the underground station, a drunkard came to speak to me.  He tried to ask me something but I did not answer so he began to speak about me with his companion.  I detested this dirty growling man.",DISGUST
195,"I was worried by a task related to my studies which had to be done in groups of two.  I was talking about it to my friends when I said something negative, in too abrupt a manner, concerning my work partner.  I did not quite mean what I said and I felt ashamed at having been mean enough to criticize him as he is also a friend of mine.",SHAME
196,I had told my boyfriend that I did not want to go on with our relationship.  I knew that I was important to him but I wanted to be free.  I saw that this was difficult for him but I remained firm and did not change my mind.,GUILT
197,"Last night I had a chat with a fellow student.  I had known her for about half a year, and for the first time we were speaking \the same language\""- meaning an inspiring discussion and áencounter.""",JOY
198,"[ I sometimes quarrel with my mother because she blames me, though I have not in any way been connected to some events.]",ANGER
199,"After hearing about the death of my grandfather.  First I could not believe it, but later I wept and felt the situation was hopeless.  I felt lonely and wanted to be consolated.",SADNESS
200,"In the evening, while I was watching TV, my little brother came in and started eating food he had brought from the kitchen while I was trying to concentrate on the program.",DISGUST
201,My little brother was arrested by the police at the railway station after he had drunk some beer.,SHAME
202,"At my temporary job, I have to restrict  others' actions and make them obey me, and this very often gives me  a feeling of guilt.  I wish there could be some other way of acting.",GUILT
203,"I met a dear friend of mine after a long time.  I expressed my feelings in our own usual way, by mutual scolding and abusing (with complete understanding) and by touching, patting and taking the hand of the other person, etc...",JOY
204,"I felt fear of the purest kind after a car accident.  The incident and images of horror kept coming back to my mind.  I wondered what could have happened to my sister, my friend and me, though nothing very serious actually happened.",FEAR
205,"Two boys whom I know were telling me, in an indecent manner, how they had teased a young and shy girl I know.  They had despised her conviction, scorned and touched her.  I got very angry and did not try to conceal it and gave it back to them.",ANGER
206,"My sweetheart left me, or rather we decided to break it off by mutual consent.  The consequences were - unrestrained weeping, feelings of loneliness, hopelessness and disconsolation.  I felt that I should find a friend, to talk to joyfully and to forget.",SADNESS
207,"Out of sheer curiosity, I went to see a pornographic movie in Copenhagen.  The room was full of men, who panted and masturbated.  Very disgusting.",DISGUST
208,"After having quarelled unnecessarily and without any reason, and having been stupidly cross in every way.",SHAME
209,[ Do not know.],SHAME
210,Forced to fill in a questionnaire.,GUILT
211,When I won a tennis match.,JOY
212,When my dog ran out on thin ice last spring.,FEAR
213,When my tennis match was interrupted because a kid cycled right into the court.,ANGER
214,[ No response.],SADNESS
215,[ No response.],DISGUST
216,[ No response.],SHAME
217,[ No response.],GUILT
218,Celebrations on the graduation day with the orchestra playing in the garden ( I am a part of this orchestra).,JOY
219,Risk of being involved in a fight after a party.,FEAR
220,"I had a very heavy work load and two colleagues, whom I have nothing against, disturbed me by \terror ringing\"", i.e ácontinously interrupting me by telephoning.""",ANGER
221,After an exam which I failed.,SADNESS
222,[ Normally I do not feel disgusted.],DISGUST
223,"When I overtook a car on the mainroad, misjudging the distance of an oncoming car and this resulted in tooting and flashing from the other driver (we could have collided), and I had an acquaintance in the car with me.",SHAME
224,"I saw a neighbour, from the same appartment block as me, lying    on the road.  He could have been injured or ill.  I kept 20 metres away and did not go to help him.",GUILT
225,When I met an old schhol friend (school love) who works in Sk+vde.,JOY
226,"When I was cycling to school, I nearly got knocked down by a car which (overtook me too closely) did not give me any swerving space.",FEAR
227,"When I was deputy manager during the Summer, certain deputies took liberties, more than what was normal.",ANGER
228,"When I realized that my girlfriend, whom I like, and I were going to separate.",SADNESS
229,Dog dirt which thaws in the spring.,DISGUST
230,When I forgot my mother's birthday.,SHAME
231,[ Can not think of anything just now.],GUILT
232,Passed the last exam.,JOY
233,Was nearly knocked down by a car.,FEAR
234,I reached the bus stop and realized that I had forgotten my bus pass.,ANGER
235,My current work load is too much.  The feeling comes back from time to time.,SADNESS
236,[ Can not think of any situation.],DISGUST
237,[ No response.],SHAME
238,[ No response.],GUILT
239,When my one year old son gives me a spontaneous kiss.,JOY
240,When someone close to me is travelling by car and is delayed.,FEAR
241,When someone does something wrong which affects me negatively.,ANGER
242,When I think about my parents getting old.,SADNESS
243,[ Can not remember.],DISGUST
244,[ No response.],SHAME
245,"I do not have the time for other people's problems.  My mother-in-law is sometimes depressed and I do not have the time, the desire or the strength to help.",GUILT
246,"An ex-colleague asked me if I was interested in working in their accounts bureau.  They needed \clever people\"" and he had á\""immediately thought of me.\""""",JOY
247,I was driving and a deer suddenly appeared in front of the car when there was a lot of traffic behind me.,FEAR
248,I saw a report on T.V news on apartheid in South Africa. ,ANGER
249,[ No response.],SADNESS
250,[ No response.],DISGUST
251,[ No response.],SHAME
252,[ No response.],GUILT
253,When my girlfriend became pregnant.,JOY
254,When I nearly collided with another car.,FEAR
255,The time when someone let the air out of the tyres of my cycle.,ANGER
256,When I read a lot and did not remember anything.,SADNESS
257,[ No response.],DISGUST
258,[ No response.],SHAME
259,The time that I had to put my dog to sleep.,GUILT
260,[ No response.],JOY
261,[ No response.],FEAR
262,[ No response.],ANGER
263,Long illness.,SADNESS
264,When I passed an exam.,JOY
265,"When I was travelling by tram, I tripped and fell against the door.  I thought that I was going to fall out.",FEAR
266,When I missed the tram after having run for it.,ANGER
267,The inability to read a book at college.,SADNESS
268,If a guy one is not interested in makes advances.,DISGUST
269,I drink wine too often.,SHAME
270,I do not study enough as I do not understand it properly.,GUILT
271,I worked at a lawyer's office during Summer and I got a very good reference from him.,JOY
272,I had been watching a triller a dark night in the country and I had to go the outside toilet on my own. ,FEAR
273,"When I am accused of something I have not done, I get unbelievably angry.",ANGER
274,"When I began to read a thick book, which I had a limited time to read.  Also when I have a lot of work to do and I cannot keep up.",SADNESS
275,Someone vomited on the street.,DISGUST
276,"I can not think of any incident when I have felt very ashamed.  There are small incidents that I am ashamed of, for instance, not sending money to the children in Ethiopia.",SHAME
277,I had lunch with my ex-boyfriend and did not mention it to my fiancee.  I felt guilty despite the fact that I felt nothing for my ex-boyfriend.,GUILT
278,When I was finally qualified for my profession.,JOY
279,Someone attacked me with a knife.,FEAR
280,Someone drove into my car and then denied that it had happened.,ANGER
281,When I was told that my friend's wife had cancer.,SADNESS
282,When I saw a dog which had been knocked down by a car.,DISGUST
283,When I boxed my child's ears.,SHAME
284,When I was fined for speeding.,GUILT
285,I stopped working (had a boring job).,JOY
286,"I was going home by car late one night when it was cold, dark and windy.  I became rather panicky on the way to my house.",FEAR
287,Quarrel in the family.,ANGER
288,When I am alone in a room with no contact with anyone - loneliness drains me.,SADNESS
289,When I was on holiday someone vomited in front of me.,DISGUST
290,Emptied a bucket of water in a hospital.,SHAME
291,When I feigned sick leave from work.,GUILT
292,When I get a hug from someone I love.,JOY
293,I was driving very fast on a small road and I met an oncoming car in a right handed bend.  The other driver was on his own side of the road and I had to skid out of it to avoid a collision.  It was dark.,FEAR
294,My car had been towed away by the traffic police because it had been wrongly parked.  However the sign had been put up only after I had already parked.,ANGER
295,After an operation I had to stay in bed for a long time.,SADNESS
296,I was forced to stay in the canteen and eat the food that I had not asked for but got it anyway.,DISGUST
297,When I did not buy what I had promised to.,SHAME
298,By mistake I took a book from the library which was not supposed to be loaned out.,GUILT
299,When I won an unexpected sum of money.,JOY
300,My 2 year old daughter disappeared in a moment of inattention; I was responsible for her.,FEAR
301,A colleague asked me for some advice and as he did not have enough confidence in me he asked a third person.,ANGER
302,"I wanted to be pregnant and did not succeed, so I was depressed    at every menstruation.",SADNESS
303,"In a warm bus full of people, someone vomited and the whole bus stank.",DISGUST
304,"I complained about a colleague's behaviour as she goes back on her word, is often absent and is irresponsible.  I found out that she was an alcoholic and was trying to fight againt her addiction.",SHAME
305,I spoke to my mother on the phone.  She had skin cancer and was waiting to be operated.  I forgot to ask her the date of the operation and just before finishing our conversation she gave me the date in passing. ,GUILT
306,When I was at a party I met an old friend from an adult education course.  We had not met for 2 years but had both thought a lot about each other.  A wonderful experience.,JOY
307,"When I was cycling through the park late one night, two people jumped out of the woods and tried to stop me.  There were shouting something at the same time.",FEAR
308,When close relatives tried to dissuade me from studying Psychology because of its low status.,ANGER
309,I had a long discussion on politics with an acquaintance.  He was more knowledgeable than me and I failed to explain my point of view and was misunderstood so I felt depressed and left.,SADNESS
310,When I read a newspaper article on a young girl who had been raped and assaulted one night by several men when she was unconscious.,DISGUST
311,My mother revealed personal details about me and the negative aspects of my character to other people when I was present but unable to defend myself.,SHAME
312,I was unfaithful to my partner once when he was working abroad for a long period.,GUILT
313,When I recently got an appartment in central Gottenburg.,JOY
314,When I saw a large spider crawling up the wall.,FEAR
315,My employer took too many aspirins for a bad back and also drank an enormous amount of spirit.  This was dangerous  and he did not understand that he had done anything wrong.,ANGER
316,"When I left New York, and all my family and my friends behind me.",SADNESS
317,When I slept with a guy because my best friend wanted me to.  He had never had intercourse with anyone and had a terrible complex about it.,DISGUST
318,When I dated a close girlfriend's boyfriend a few times. He told me that it was over between them and I accepted it.  When she found out she finished our friendship.,SHAME
319,"When I broke off with my boyfriend after three years.  It was quite unexpected for him and there was no particular reason for the break up, such as someone else.",GUILT
320,When my son returned from mountaineering - healthy in body and soul.,JOY
321,When one meets new people with whom one is forced to collaborate with.,FEAR
322,The sports fishermen who catch gulls instead of fish with their hooks.   It is often a mistake but it makes me angry.,ANGER
323,I feel sad about an event I can not influence.,SADNESS
324,"When a member of the family complains about the food that is served, it disgusts me.",DISGUST
325,[ Cannot recall any incident when I felt shame.],SHAME
326,I have chosen to put my son in a private school were the examination marks are low.  Every time that he gives me his term results I am left with a sense of guilt.,GUILT
327,When I was informed that I had been accepted as a student of Psychology.,JOY
328,When I was in a little fishing boat and we ran into hard weather in the open sea.,FEAR
329,When I found out that the guy I was dating at a particular time had a steady relationship going on with someone else for a long time.,ANGER
330,I felt sad and depressed when I heard that our cat had died.,SADNESS
331,"When I was working as a nurse in a mental hospital, a patient ate up the contents of another patient's spitoon.",DISGUST
332,"At primary school, when I vomited in front of others in the middle  of a lesson.",SHAME
333,I arrived an hour late for an important meeting ( I had misunderstood the time).,GUILT
334,When I was acceptted as a student of psychology.,JOY
335,When my son has a pain in his leg (for no apparent reason).  ,FEAR
336,"When, after a week at school, a teacher sent a note home saying that my son was inattentive and unable to do his lessons.",ANGER
337,When I thought that it was going to be impossible for me to start studying (due to wrong information from the student advisor).,SADNESS
338,"At a certain person's lack of cleanliness, at home and personally.",DISGUST
339,"When I made the same mistake that I had accused someone else of, and this was obvious to a third pereson.",SHAME
340,When I lost something that was valuable to my sister.,GUILT
341,When my son was born.,JOY
342,When I nearly drowned in icy water wearing ice skates.  It was difficult to get out.,FEAR
343,When I was pointed out as a problem child in primary school and my mother took the teacher's point of view.,ANGER
344,When I was accused of neglecting work for the wrong reasons.,SADNESS
345,"My parents attitude towards each other when they should become reconciled, despite my father's long-time addiction.",DISGUST
346,When I was caught stealing money from my father.,SHAME
347,I stole a coconut cake from a reception table and when I put in my mouth I realized that the host was watching me.,GUILT
348,"When after 10 months of national service I was \downgraded\"" and ádid not have to do the remaining 5 months.""",JOY
349,When I was reprimanded by the manager of the hotel where I worked during Autumn 1984.,FEAR
350,When my parents drove me to a nearby place and went home immediately instead of waiting a few hours.  They could have easily waited.,ANGER
351,When my ex-girlfriend and I discovered that there was a certain risk of her being pregnant.,SADNESS
352,When I was about to clean the draining board and saw it looked underneath the sink (I live in a students hostel).,DISGUST
353,When my mother caught me masturbating.,SHAME
354,"As the only person in my family into academics, I ought to have looked after my younger (and only) sister better, with respect to her education and life experiences.",GUILT
355,When my older sister told us that she was thinking of joining the rest of the family for the winter sports holiday.,JOY
356,Slept in a chapel and in the middle of the night I realized that there was someeone else in the chapel.  I never discovered who it was and why he was there.,FEAR
357,"When we were in high school a few guys sometimes provoked a friend of mine.  They called her a pig and then grunted.  This irritated most of the girls.  Once, one of the girls got angry at my friend and said something nasty and this made me terribly angry.",ANGER
358,I talked to my boyfriend on the phone when I was in high spirits and had a lot to tell him.  I had been looking forward to this conversation and he did not listen to me to the extent that I had anticipated.,SADNESS
359,A mother who shouts at her child for nothing.,DISGUST
360,"When I complained to my mother about how untidy the kitchen loooked, she boxed my ears ( this had never happened before).",SHAME
361,"As I could not be home before midnight I called home at 11.30 and asked them to leave the door open so that I could get in.  I actually woke up the whole family by calling them so late.  My mother could not go back to sleep, besides she had a conference   the next day and really needed to sleep.",GUILT
