,date,agenda,speechnumber,speaker,party,party.facts.id,chair,terms,parliament,iso3country,speech_id,sentence_nr,sentences,vader_neg,vader_neu,vader_pos,vader_compound,txtblob_polarity,txtblob_subjectivity,flair,speech_id.1,ners,entities,ORG,NORP,GPE,PERSON,PM,BJ,TM,BJ_PM,TM_PM,month_year,TM_BJ_01
10,2018-09-04,Official Development Assistance: Endangered Species [Oral Answers to Questions > Foreign and Commonwealth Office],6,Harriett Baldwin,Con,1567,False,89,UK-HouseOfCommons,GBR,20180904000006,3,"The summit we will host in October will see delegations from all over the world putting their heads together on the ways in which we can tackle the issue, both through law enforcement and through creating areas and safe space for species, and other ways in which we can work together with the rest of the world to tackle this hideous trade.",0.0,0.922,0.078,0.6249,0.1875,0.4375,-0.9512,20180904000006,['DATE'],['October'],False,False,False,False,0,0,0,0,0,2018-09,
11,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],9,Jeremy Hunt,Con,1567,False,60,UK-HouseOfCommons,GBR,20180904000009,1,The situation in Burma/Myanmar remains of real concern.,0.0,1.0,0.0,0.0,0.2,0.3,0.9631,20180904000009,"['GPE', 'GPE']","['Burma', 'Myanmar']",False,False,True,False,0,0,0,0,0,2018-09,
12,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],9,Jeremy Hunt,Con,1567,False,60,UK-HouseOfCommons,GBR,20180904000009,2,"On 27 August, the United Nations fact-finding mission published a report that said that there were grounds for prosecution of members of the Burma military for war crimes, crimes against humanity and genocide.",0.183,0.746,0.072,-0.6486,-0.1,0.1,-0.9855,20180904000009,"['DATE', 'ORG']","['27 August', 'the United Nations']",True,False,False,False,0,0,0,0,0,2018-09,
13,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],9,Jeremy Hunt,Con,1567,False,60,UK-HouseOfCommons,GBR,20180904000009,3,"In the face of such serious allegations, no country that considers itself humane can stand back and do nothing.",0.171,0.829,0.0,-0.3612,-0.111111111111111,0.388888888888889,-0.9996,20180904000009,[],[],False,False,False,False,0,0,0,0,0,2018-09,
14,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],11,Jeremy Hunt,Con,1567,False,130,UK-HouseOfCommons,GBR,20180904000011,1,"I very strongly agree with the Gentleman that ethnic cleansing, in whatever shape or form, wherever it happens, should never go unpunished, and that the perpetrators of these appalling crimes must be brought to justice.",0.107,0.689,0.204,0.6214,0.106666666666667,0.926666666666667,0.861,20180904000011,[],[],False,False,False,False,0,0,0,0,0,2018-09,
15,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],11,Jeremy Hunt,Con,1567,False,130,UK-HouseOfCommons,GBR,20180904000011,2,He is right to say that the UK has a special responsibility as the penholder.,0.0,0.828,0.172,0.4019,0.321428571428571,0.553571428571429,0.9878,20180904000011,['GPE'],['UK'],False,False,True,False,0,0,0,0,0,2018-09,
16,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],11,Jeremy Hunt,Con,1567,False,130,UK-HouseOfCommons,GBR,20180904000011,3,I intend to convene a high-level meeting of Ministers in the margins of the UN General Assembly later this month.,0.0,1.0,0.0,0.0,0.025,0.25,0.7601,20180904000011,"['ORG', 'DATE']","['the UN General Assembly', 'later this month']",True,False,False,False,0,0,0,0,0,2018-09,
17,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],11,Jeremy Hunt,Con,1567,False,130,UK-HouseOfCommons,GBR,20180904000011,4,"ICC referral, however, has to happen as a decision of the Security Council, and at the moment it is not clear that there would be consensus on the Security Council to deliver that.",0.061,0.806,0.133,0.3851,-0.05,0.383333333333333,-0.99,20180904000011,"['GPE', 'ORG', 'ORG']","['ICC', 'the Security Council', 'the Security Council']",True,False,True,False,0,0,0,0,0,2018-09,
18,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],11,Jeremy Hunt,Con,1567,False,130,UK-HouseOfCommons,GBR,20180904000011,5,"I want the Gentleman to be comforted, however, that we will leave no stone unturned to make sure that the perpetrators are brought to justice.",0.168,0.528,0.304,0.6597,0.5,0.888888888888889,-0.9773,20180904000011,[],[],False,False,False,False,0,0,0,0,0,2018-09,
19,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],13,Jeremy Hunt,Con,1567,False,57,UK-HouseOfCommons,GBR,20180904000013,1,"I cannot tell the Gentleman that number, but I will happily write to him with the information.",0.0,0.682,0.318,0.7227,0.8,1.0,0.9392,20180904000013,[],[],False,False,False,False,0,0,0,0,0,2018-09,
20,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],13,Jeremy Hunt,Con,1567,False,57,UK-HouseOfCommons,GBR,20180904000013,2,"What I can tell him is that our aid to the Rohingya, which is Â£129 million so far, has helped counsel 2,000 victims of sexual violence.",0.218,0.782,0.0,-0.7506,0.3,0.916666666666667,0.9098,20180904000013,"['PERSON', 'CARDINAL', 'CARDINAL']","['Rohingya', 'Â£129 million', '2,000']",False,False,False,True,0,0,0,0,0,2018-09,
21,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],13,Jeremy Hunt,Con,1567,False,57,UK-HouseOfCommons,GBR,20180904000013,3,We consider that an extremely important part of our support for this people.,0.0,0.697,0.303,0.5849,0.4,1.0,0.9968,20180904000013,[],[],False,False,False,False,0,0,0,0,0,2018-09,
22,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],14,Andrew Mitchell,Con,1567,False,117,UK-HouseOfCommons,GBR,20180904000014,1,May I warmly welcome my right Friend to his new role?,0.0,0.44,0.56,0.836,0.407359307359307,0.63008658008658,0.9819,20180904000014,[],[],False,False,False,False,0,0,0,0,0,2018-09,
23,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],14,Andrew Mitchell,Con,1567,False,117,UK-HouseOfCommons,GBR,20180904000014,2,"He has great relevant experience, and we all know he will carry out his role superbly.",0.0,0.785,0.215,0.6249,0.733333333333333,0.883333333333333,0.9985,20180904000014,[],[],False,False,False,False,0,0,0,0,0,2018-09,
24,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],14,Andrew Mitchell,Con,1567,False,117,UK-HouseOfCommons,GBR,20180904000014,3,"Will he ensure he uses all his considerable influence, and that of the British, at the United Nations to make it clear that there can be no impunity for crimes of genocide committed by the Burmese army, which have been so eloquently set out by the United Nations independent international fact-finding mission?",0.036,0.753,0.211,0.8658,0.04,0.191666666666667,0.7861,20180904000014,"['NORP', 'ORG', 'NORP', 'ORG']","['British', 'the United Nations', 'Burmese', 'United Nations']",True,True,False,False,0,0,0,0,0,2018-09,
25,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],14,Andrew Mitchell,Con,1567,False,117,UK-HouseOfCommons,GBR,20180904000014,4,"Britain has an acute and important leadership role to discharge here, not least because of the tremendous amount of aid and support we have given to the poor Rohingya community over the many years of their suffering.",0.142,0.755,0.103,-0.4019,0.263888888888889,0.733333333333333,0.9962,20180904000014,"['GPE', 'PERSON', 'DATE']","['Britain', 'Rohingya', 'the many years']",False,False,True,True,0,0,0,0,0,2018-09,
26,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],15,Jeremy Hunt,Con,1567,False,82,UK-HouseOfCommons,GBR,20180904000015,1,I thank my right Friend for his comments and commend him for the leadership he showed on many humanitarian issues as International Development Secretary.,0.0,0.699,0.301,0.8225,0.261904761904762,0.345238095238095,0.9869,20180904000015,['ORG'],['International Development'],True,False,False,False,0,0,0,0,0,2018-09,
27,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],15,Jeremy Hunt,Con,1567,False,82,UK-HouseOfCommons,GBR,20180904000015,2,"He is absolutely right: the report said that in Rakhine, Shan and Kachin states there was gang rape, assaults on children, villages razed, and, in northern Rakhine, mass extermination and mass deportations.",0.215,0.785,0.0,-0.8481,0.285714285714286,0.535714285714286,-0.7532,20180904000015,"['PERSON', 'PERSON', 'NORP', 'PERSON']","['Rakhine', 'Shan', 'Kachin', 'Rakhine']",False,True,False,True,0,0,0,0,0,2018-09,
28,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],15,Jeremy Hunt,Con,1567,False,82,UK-HouseOfCommons,GBR,20180904000015,3,This is the kind of issue where countries that believe in civilised values have to take a stand and make sure that justice is done.,0.0,0.714,0.286,0.8126,0.55,0.894444444444444,-0.8811,20180904000015,[],[],False,False,False,False,0,0,0,0,0,2018-09,
29,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],16,Richard Graham,Con,1567,False,80,UK-HouseOfCommons,GBR,20180904000016,1,"I, too, warmly welcome my right Friend to his new and vital role.",0.0,0.448,0.552,0.8779,0.330519480519481,0.572564935064935,0.987,20180904000016,[],[],False,False,False,False,0,0,0,0,0,2018-09,
30,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],16,Richard Graham,Con,1567,False,80,UK-HouseOfCommons,GBR,20180904000016,2,"While the Foreign Office is considering the damning UN report and deciding how most effectively Britain should respond, will he consider carefully the pros and cons of the current parliamentary engagement carried out by the Westminster Foundation for Democracy, which has done good work through the Officials of this House?",0.041,0.776,0.183,0.8016,0.2625,0.570833333333333,0.6731,20180904000016,"['ORG', 'ORG', 'GPE', 'ORG', 'ORG']","['the Foreign Office', 'UN', 'Britain', 'the Westminster Foundation for Democracy', 'House']",True,False,True,False,0,0,0,0,0,2018-09,
31,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],16,Richard Graham,Con,1567,False,80,UK-HouseOfCommons,GBR,20180904000016,3,We will need to weigh in the balance whether it is appropriate to continue such engagement.,0.0,0.833,0.167,0.4588,0.25,0.5,-0.9869,20180904000016,[],[],False,False,False,False,0,0,0,0,0,2018-09,
32,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],17,Jeremy Hunt,Con,1567,False,93,UK-HouseOfCommons,GBR,20180904000017,1,I very much welcome my Friend's experience of the region.,0.0,0.709,0.291,0.507,0.8,0.9,0.9815,20180904000017,[],[],False,False,False,False,0,0,0,0,0,2018-09,
33,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],17,Jeremy Hunt,Con,1567,False,93,UK-HouseOfCommons,GBR,20180904000017,2,"Obviously that would be a matter for Parliament to decide, but it is very important that in all our dealings with the Burmese regime they understand that a line has been crossed.",0.0,0.884,0.116,0.3998,0.26,0.75,0.9934,20180904000017,"['ORG', 'NORP']","['Parliament', 'Burmese']",True,True,False,False,0,0,0,0,0,2018-09,
34,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],17,Jeremy Hunt,Con,1567,False,93,UK-HouseOfCommons,GBR,20180904000017,3,"It is also important to update the House on the fact that a great deal has happened over the summer months, including an EU decision, which the UK was instrumental in making happen, to impose sanctions on seven individuals in the Burmese military.",0.047,0.828,0.125,0.5719,0.366666666666667,0.616666666666667,0.8042,20180904000017,"['ORG', 'DATE', 'ORG', 'GPE', 'CARDINAL', 'NORP']","['House', 'the summer months', 'EU', 'UK', 'seven', 'Burmese']",True,True,True,False,0,0,0,0,0,2018-09,
35,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],17,Jeremy Hunt,Con,1567,False,93,UK-HouseOfCommons,GBR,20180904000017,4,Much more now needs to be done.,0.0,1.0,0.0,0.0,0.5,0.5,0.7808,20180904000017,[],[],False,False,False,False,0,0,0,0,0,2018-09,
36,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],19,Jeremy Hunt,Con,1567,False,52,UK-HouseOfCommons,GBR,20180904000019,1,The two journalists were doing what is in the very best traditions of all journalism: exposing evil and bad things that Governments do not want exposed.,0.304,0.541,0.155,-0.6712,-0.233333333333333,0.685555555555556,0.9944,20180904000019,['CARDINAL'],['two'],False,False,False,False,0,0,0,0,0,2018-09,
37,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],19,Jeremy Hunt,Con,1567,False,52,UK-HouseOfCommons,GBR,20180904000019,2,"We are very concerned, and I want to visit Burma/Myanmar to talk about all these issues and will certainly raise the issue with the Burmese authorities.",0.0,0.853,0.147,0.4522,0.207142857142857,0.435714285714286,0.9878,20180904000019,"['GPE', 'NORP']","['Myanmar', 'Burmese']",False,True,True,False,0,0,0,0,0,2018-09,
38,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],20,Philip Hollobone,Con,1567,False,14,UK-HouseOfCommons,GBR,20180904000020,1,What diplomatic initiatives are under way to overcome the statelessness of the Rohingya refugees?,0.0,1.0,0.0,0.0,0.0,0.0,0.6454,20180904000020,['PERSON'],['Rohingya'],False,False,False,True,0,0,0,0,0,2018-09,
39,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],21,Jeremy Hunt,Con,1567,False,52,UK-HouseOfCommons,GBR,20180904000021,1,My Friend raises a very good question.,0.0,0.385,0.615,0.7501,0.91,0.78,0.9957,20180904000021,[],[],False,False,False,False,0,0,0,0,0,2018-09,
40,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],21,Jeremy Hunt,Con,1567,False,52,UK-HouseOfCommons,GBR,20180904000021,2,"My colleague in the other place, Lord Ahmad, hosted a Security Council meeting on 28 August to look at all these issues.",0.0,0.893,0.107,0.34,-0.125,0.375,0.8163,20180904000021,"['PERSON', 'ORG', 'DATE']","['Ahmad', 'Security Council', '28 August']",True,False,False,True,0,0,0,0,0,2018-09,
41,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],21,Jeremy Hunt,Con,1567,False,52,UK-HouseOfCommons,GBR,20180904000021,3,I will be looking at that particular issue when we have a high-level meeting of Foreign Ministers at the UN General Assembly.,0.0,1.0,0.0,0.0,0.0305555555555555,0.319444444444444,0.9982,20180904000021,"['ORG', 'ORG']","['Foreign Ministers', 'the UN General Assembly']",True,False,False,False,0,0,0,0,0,2018-09,
42,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],23,Jeremy Hunt,Con,1567,False,105,UK-HouseOfCommons,GBR,20180904000023,1,I recognise the enormous amount that the Gentleman has done on this issue as Chair of the Select Committee on International Development.,0.0,1.0,0.0,0.0,0.0,0.45,0.987,20180904000023,['ORG'],['the Select Committee on International Development'],True,False,False,False,0,0,0,0,0,2018-09,
43,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],23,Jeremy Hunt,Con,1567,False,105,UK-HouseOfCommons,GBR,20180904000023,2,"I think we have two priorities in this situation, which is both a humanitarian catastrophe and a justice issue.",0.202,0.642,0.156,-0.25,0.0,0.0,0.915,20180904000023,['CARDINAL'],['two'],False,False,False,False,0,0,0,0,0,2018-09,
44,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],23,Jeremy Hunt,Con,1567,False,105,UK-HouseOfCommons,GBR,20180904000023,3,The first is to enable the safe return of the Rohingya to their home.,0.0,0.818,0.182,0.4404,0.375,0.416666666666667,0.96,20180904000023,"['ORDINAL', 'PERSON']","['first', 'Rohingya']",False,False,False,True,0,0,0,0,0,2018-09,
45,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],23,Jeremy Hunt,Con,1567,False,105,UK-HouseOfCommons,GBR,20180904000023,4,"That is not unproblematic, but it is very, very important because of the humanitarian situation across the border.",0.0,0.848,0.152,0.4691,0.52,1.0,0.9988,20180904000023,[],[],False,False,False,False,0,0,0,0,0,2018-09,
46,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],23,Jeremy Hunt,Con,1567,False,105,UK-HouseOfCommons,GBR,20180904000023,5,The second is to ensure that the perpetrators face justice.,0.133,0.467,0.4,0.6124,0.0,0.0,0.9928,20180904000023,['ORDINAL'],['second'],False,False,False,False,0,0,0,0,0,2018-09,
47,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],23,Jeremy Hunt,Con,1567,False,105,UK-HouseOfCommons,GBR,20180904000023,6,"That will be a long, hard road, but he should rest assured that we are committed to going on that journey.",0.05,0.705,0.245,0.6908,-0.170833333333333,0.470833333333333,0.9981,20180904000023,[],[],False,False,False,False,0,0,0,0,0,2018-09,
48,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],24,Bob Seely,Con,1567,False,81,UK-HouseOfCommons,GBR,20180904000024,1,"I welcome the Secretary of State to his new role, and I welcome his words of assurance that war crimes will not go unpunished in Myanmar, or indeed anywhere in the world.",0.102,0.679,0.219,0.5423,0.578787878787879,0.751515151515152,0.9851,20180904000024,"['ORG', 'GPE']","['State', 'Myanmar']",True,False,True,False,0,0,0,0,0,2018-09,
49,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],24,Bob Seely,Con,1567,False,81,UK-HouseOfCommons,GBR,20180904000024,2,"On the latter point, will he do the same for the Syrian and Russian regimes, which according to Syrian doctors are currently bombing hospitals as priority and primary targets, and will he update me on how we are going to take the Russian and Syrian regimes to the ICC?",0.0,1.0,0.0,0.0,0.0666666666666666,0.170833333333333,-0.883,20180904000024,"['NORP', 'NORP', 'NORP', 'NORP', 'NORP', 'ORG']","['Syrian', 'Russian', 'Syrian', 'Russian', 'Syrian', 'ICC']",True,True,False,False,0,0,0,0,0,2018-09,
50,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],26,Jeremy Hunt,Con,1567,False,20,UK-HouseOfCommons,GBR,20180904000026,1,My Friend should rest assured that we will deal with crimes against humanity wherever in the world they happen.,0.0,0.749,0.251,0.6908,0.0,0.0,0.9505,20180904000026,[],[],False,False,False,False,0,0,0,0,0,2018-09,
51,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],28,Jeremy Hunt,Con,1567,False,98,UK-HouseOfCommons,GBR,20180904000028,1,The Lady should rest assured that we absolutely believe that everyone responsible for these atrocities must be held to account.,0.0,0.789,0.211,0.5859,0.2,0.725,-0.6867,20180904000028,[],[],False,False,False,False,0,0,0,0,0,2018-09,
52,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],28,Jeremy Hunt,Con,1567,False,98,UK-HouseOfCommons,GBR,20180904000028,2,I hope to meet Aung San Suu Kyi; I think I have probably expressed the disappointment felt on both sides of the House that she has not taken the stand that many of us who have admired her for many years had hoped she might.,0.066,0.758,0.176,0.6705,0.133333333333333,0.466666666666667,-0.9514,20180904000028,"['ORG', 'DATE']","['House', 'many years']",True,False,False,False,0,0,0,0,0,2018-09,
53,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],28,Jeremy Hunt,Con,1567,False,98,UK-HouseOfCommons,GBR,20180904000028,3,The key issue is whether she chooses to go down the path of Burmese nationalism or whether she recognises that all citizens of her country are entitled to high standards of treatment.,0.0,0.937,0.063,0.2732,0.0014814814814814,0.60962962962963,0.5517,20180904000028,['NORP'],['Burmese'],False,True,False,False,0,0,0,0,0,2018-09,
54,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],31,Jeremy Hunt,Con,1567,False,15,UK-HouseOfCommons,GBR,20180904000031,1,I am very happy to make all consular assistance available to the Lady's constituent.,0.0,0.75,0.25,0.6115,0.7,0.7,0.9735,20180904000031,[],[],False,False,False,False,0,0,0,0,0,2018-09,
55,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],33,Jeremy Hunt,Con,1567,False,148,UK-HouseOfCommons,GBR,20180904000033,1,"First, I should say that it is a great pleasure to have the right Lady shadowing me.",0.0,0.625,0.375,0.8316,0.445238095238095,0.53968253968254,0.9991,20180904000033,['ORDINAL'],['First'],False,False,False,False,0,0,0,0,0,2018-09,
56,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],33,Jeremy Hunt,Con,1567,False,148,UK-HouseOfCommons,GBR,20180904000033,2,"As Health Secretary, I was shadowed by four different shadow Secretaries of State; I hope the right Lady will stay long enough for us to really get to know each other.",0.0,0.906,0.094,0.4404,0.0517857142857142,0.435119047619048,0.9177,20180904000033,"['CARDINAL', 'ORG', 'PERSON']","['four', 'State', 'Lady']",True,False,False,True,0,0,0,0,0,2018-09,
57,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],33,Jeremy Hunt,Con,1567,False,148,UK-HouseOfCommons,GBR,20180904000033,3,Things need to happen if we are to deal with these very serious issues.,0.109,0.891,0.0,-0.1513,-0.433333333333333,0.866666666666667,-0.6873,20180904000033,[],[],False,False,False,False,0,0,0,0,0,2018-09,
58,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],33,Jeremy Hunt,Con,1567,False,148,UK-HouseOfCommons,GBR,20180904000033,4,It is important that I visit Burma/Myanmar to meet the military and Aung San Suu Kyi and see for myself the situation on the ground.,0.0,0.927,0.073,0.2023,0.15,0.55,0.9756,20180904000033,"['GPE', 'PERSON']","['Myanmar', 'Aung San Suu Kyi']",False,False,True,True,0,0,0,0,0,2018-09,
59,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],33,Jeremy Hunt,Con,1567,False,148,UK-HouseOfCommons,GBR,20180904000033,5,"But there are things that we can do only in concert with other countries: one is referral to the International Criminal Court, which can come only if there is a consensus on the Security Council.",0.09,0.847,0.063,-0.25,-0.105,0.585,0.5728,20180904000033,"['ORG', 'ORG']","['the International Criminal Court', 'the Security Council']",True,False,False,False,0,0,0,0,0,2018-09,
60,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],33,Jeremy Hunt,Con,1567,False,148,UK-HouseOfCommons,GBR,20180904000033,6,"There is a huge amount of work for Britain to do-both individually, as we are doing with our aid support, and with other countries.",0.0,0.808,0.192,0.6124,0.0916666666666666,0.558333333333333,0.9942,20180904000033,['GPE'],['Britain'],False,False,True,False,0,0,0,0,0,2018-09,
61,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],35,Jeremy Hunt,Con,1567,False,73,UK-HouseOfCommons,GBR,20180904000035,1,"With the greatest respect to my new shadow, that is exactly what I am going to do and what I have said I will do.",0.0,0.733,0.267,0.8074,0.462121212121212,0.568181818181818,0.9995,20180904000035,[],[],False,False,False,False,0,0,0,0,0,2018-09,
62,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],35,Jeremy Hunt,Con,1567,False,73,UK-HouseOfCommons,GBR,20180904000035,2,I will be in the margins of the UN General Assembly raising the issue with my counterparts from the other permanent members of the Security Council.,0.0,0.909,0.091,0.34,-0.0374999999999999,0.4375,0.9948,20180904000035,"['ORG', 'ORG']","['the UN General Assembly', 'the Security Council']",True,False,False,False,0,0,0,0,0,2018-09,
63,2018-09-04,Myanmar [Oral Answers to Questions > Foreign and Commonwealth Office],35,Jeremy Hunt,Con,1567,False,73,UK-HouseOfCommons,GBR,20180904000035,3,"But I also want to visit Burma/Myanmar, and I think I will be able to make a stronger case if I do.",0.0,0.794,0.206,0.4404,0.5,0.625,0.7493,20180904000035,['GPE'],['Myanmar'],False,False,True,False,0,0,0,0,0,2018-09,
